uid,hn,street,boro,state
92874,33-73,169TH ST,QUEENS,NY
92875,33-74,169TH ST,QUEENS,NY
92876,33-79,169TH ST,QUEENS,NY
92877,33-80,169TH ST,QUEENS,NY
92878,33-83,169TH ST,QUEENS,NY
92879,35-06,169TH ST,QUEENS,NY
92880,35-01/09,169TH ST,QUEENS,NY
92881,35-11,169TH ST,QUEENS,NY
92882,35-12,169TH ST,QUEENS,NY
92883,35-15,169TH ST,QUEENS,NY
92884,35-18,169TH ST,QUEENS,NY
92885,35-19,169TH ST,QUEENS,NY
92886,35-24,169TH ST,QUEENS,NY
92887,35-25,169TH ST,QUEENS,NY
92888,35-26,169TH ST,QUEENS,NY
92889,35-31,169TH ST,QUEENS,NY
92890,35-34,169TH ST,QUEENS,NY
92891,35-37,169TH ST,QUEENS,NY
92892,35-38,169TH ST,QUEENS,NY
92893,35-43,169TH ST,QUEENS,NY
92894,35-44,169TH ST,QUEENS,NY
92895,35-50,169TH ST,QUEENS,NY
92896,35-53,169TH ST,QUEENS,NY
92897,35-54,169TH ST,QUEENS,NY
92898,35-60,169TH ST,QUEENS,NY
92899,32-14,170TH ST,QUEENS,NY
92900,32-18,170TH ST,QUEENS,NY
92901,32-22,170TH ST,QUEENS,NY
92902,32-26,170TH ST,QUEENS,NY
92903,32-30,170TH ST,QUEENS,NY
92904,32-31,170TH ST,QUEENS,NY
92905,32-40,170TH ST,QUEENS,NY
92906,33-10,170TH ST,QUEENS,NY
92907,33-11,170TH ST,QUEENS,NY
92908,33-12,170TH ST,QUEENS,NY
92909,33-15,170TH ST,QUEENS,NY
92910,33-16,170TH ST,QUEENS,NY
92911,33-19,170TH ST,QUEENS,NY
92912,33-20,170TH ST,QUEENS,NY
92913,33-25,170TH ST,QUEENS,NY
92914,33-26,170TH ST,QUEENS,NY
92915,33-27,170TH ST,QUEENS,NY
92916,33-30,170TH ST,QUEENS,NY
92917,33-31,170TH ST,QUEENS,NY
92918,33-34,170TH ST,QUEENS,NY
92919,33-35,170TH ST,QUEENS,NY
92920,33-39,170TH ST,QUEENS,NY
92921,33-40,170TH ST,QUEENS,NY
92922,33-44,170TH ST,QUEENS,NY
92923,33-43/45,170TH ST,QUEENS,NY
92924,33-48,170TH ST,QUEENS,NY
92925,33-49,170TH ST,QUEENS,NY
92926,33-52,170TH ST,QUEENS,NY
92927,33-53,170TH ST,QUEENS,NY
92928,33-56,170TH ST,QUEENS,NY
92929,33-57,170TH ST,QUEENS,NY
92930,33-60,170TH ST,QUEENS,NY
92931,33-61,170TH ST,QUEENS,NY
92932,33-64,170TH ST,QUEENS,NY
92933,33-65,170TH ST,QUEENS,NY
92934,33-68,170TH ST,QUEENS,NY
92935,33-69,170TH ST,QUEENS,NY
92936,33-72,170TH ST,QUEENS,NY
